fold,train_years,val_year,n_train,n_val,rmse,mae,r2
1,"[2001, 2002, 2003]",2004,32449,10489,7204.911903800833,1351.6211621872185,0.967342184409853
2,"[2001, 2002, 2003, 2004]",2005,42938,10397,4439.179857214083,1104.0377436877318,0.9867809350021405
3,"[2001, 2002, 2003, 2004, 2005]",2006,53335,10695,3757.1587624310196,969.7210638835983,0.9907909556066886
4,"[2001, 2002, 2003, 2004, 2005, 2006]",2007,64030,11251,5205.324963521097,975.4294148789874,0.9809031423351217
5,"[2001, 2002, 2003, 2004, 2005, 2006, 2007]",2008,75281,11152,5467.4701542465955,972.3362174792912,0.9810412302303916
6,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",2009,86433,10469,3586.3882205794635,902.4768774626872,0.9915669572093926
7,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]",2010,96902,10960,7107.403269749484,1098.4936808640025,0.9735313798413764
8,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",2011,107862,11038,3378.2764786991597,826.3720391508143,0.991957105900565
9,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",2012,118900,10603,3297.076631398721,837.9236192906436,0.9920995404330393
10,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",2013,129503,11013,3306.5836753647945,780.4005155425905,0.9919190924948738
11,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",2014,140516,33697,16090.108405121775,3159.28677594437,0.9396583589926679
12,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2015,174213,24361,8051.674114932477,2185.907034546682,0.9861954724981861
13,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",2016,198574,26874,10307.461565900638,2226.8554582425504,0.9800761726978398
14,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2017,225448,28202,8562.945461550413,1918.9564934698465,0.9856083083437992
15,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2018,253650,27834,7646.353741186485,1741.1935082595166,0.987937143104374
16,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2019,281484,29387,10557.657085400451,1952.6005851863993,0.9804760344295502
17,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2020,310871,29783,8244.368198445534,1786.6953548197375,0.9881706638018259
18,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",2021,340654,29442,6799.713193927282,1626.5630276405273,0.9915376064066742
19,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,370096,30768,8249.305769217914,1746.243963814989,0.987932466105552
20,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,400864,30655,6002.449268302676,1495.4164641983516,0.992157043548407
