fold,train_years,val_year,n_train,n_val,rmse,mae,r2
1,"[2001, 2002, 2003]",2004,32449,10489,54647.23937653862,5951.328694451584,0.9746905392197202
2,"[2001, 2002, 2003, 2004]",2005,42938,10397,53867.84373803753,5348.2654107852495,0.9754662427960751
3,"[2001, 2002, 2003, 2004, 2005]",2006,53335,10695,50987.69635456835,4896.792321766217,0.9786341177461552
4,"[2001, 2002, 2003, 2004, 2005, 2006]",2007,64030,11251,35386.44314266177,4401.426490629715,0.9882643200323926
5,"[2001, 2002, 2003, 2004, 2005, 2006, 2007]",2008,75281,11152,55129.2166623661,5323.760214919594,0.9714074373601037
6,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",2009,86433,10469,88157.20818976674,5481.158663990008,0.9291287924042458
7,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]",2010,96902,10960,32618.824015814193,4048.1900729474783,0.9902776188975135
8,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",2011,107862,11038,43709.92756430563,4717.6723555180815,0.9834956441324018
9,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",2012,118900,10603,44413.11230270521,4908.085666211569,0.9869604223814082
10,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",2013,129503,11013,43273.52757954894,4568.998882860367,0.9844382700319206
11,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",2014,140516,33697,158455.52737717348,11321.17228575081,0.8317613637644624
12,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2015,174213,24361,59569.258434055446,7844.4767538950755,0.9788601405162008
13,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",2016,198574,26874,83333.78252081481,7675.622514938377,0.9541202878333647
14,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2017,225448,28202,44630.761230306154,6122.507764062723,0.9823333871526442
15,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2018,253650,27834,52051.325080852286,5950.49511492828,0.9726181791371215
16,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2019,281484,29387,37418.169128885726,5953.339127501549,0.9862237099665067
17,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2020,310871,29783,36254.25003383665,5896.6609910417,0.9885119681118414
18,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",2021,340654,29442,30186.93785598237,4942.76458034945,0.9913579701043708
19,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,370096,30768,31919.427358997636,5364.4796648329175,0.9914560026322775
20,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,400864,30655,47824.24565399839,5310.752813042262,0.9826785471865754
