fold,train_years,val_year,n_train,n_val,rmse,mae,r2
1,"[2001, 2002, 2003]",2004,32449,10489,0.7488031227076254,0.27773593098218585,0.9952011058067913
2,"[2001, 2002, 2003, 2004]",2005,42938,10397,0.7760975011008441,0.2788526518893215,0.9949352111352865
3,"[2001, 2002, 2003, 2004, 2005]",2006,53335,10695,0.7821667543778691,0.2842767359918819,0.9941351859508344
4,"[2001, 2002, 2003, 2004, 2005, 2006]",2007,64030,11251,0.5818762178277669,0.21872130012483754,0.9967217384032427
5,"[2001, 2002, 2003, 2004, 2005, 2006, 2007]",2008,75281,11152,0.5827725376275709,0.23284492739581344,0.9968894296337255
6,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",2009,86433,10469,0.7328644448627547,0.259806848381068,0.9957916829097821
7,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]",2010,96902,10960,0.6379417295281473,0.217290678787699,0.995961251938322
8,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",2011,107862,11038,0.5379642048783537,0.21638016586425926,0.9970411368859734
9,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",2012,118900,10603,0.6611359099790434,0.2406598493065718,0.996203936565353
10,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",2013,129503,11013,0.6515374714677981,0.23760628306990045,0.9962466368191749
11,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",2014,140516,33697,0.6235488136074313,0.20337741912081542,0.9959233267659834
12,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",2015,174213,24361,0.4943221154943591,0.1322451828334029,0.9972687206763141
13,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015]",2016,198574,26874,0.5154177725336475,0.12943937462789126,0.9971182252502419
14,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2017,225448,28202,0.4457122434989673,0.10769345506540466,0.9973191331341148
15,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2018,253650,27834,0.44654594978776935,0.10942311151205406,0.9975415946291951
16,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2019,281484,29387,0.43361988000532825,0.10552961996508135,0.997687903162997
17,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2020,310871,29783,0.42908860491022804,0.10218309268285738,0.9973975444102183
18,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",2021,340654,29442,0.4174154312256949,0.09666518470649899,0.9974080757864568
19,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,370096,30768,0.42098567193082925,0.09895654693125634,0.9970802867582417
20,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,400864,30655,0.4851390841876389,0.10865854571215328,0.9969821564235999
